,collocate,raw_frequency,MI
29,if,49064,0.8290409781265243
74,not,98938,0.8171810980449128
191,are,33103,0.8117813645306508
170,our,16603,0.8072993874618948
188,could,34170,0.7660130857294288
216,you,154336,0.7606656197264762
72,other,17604,0.7228400566515132
363,say,18604,0.643130488521448
347,how,20175,0.5261746599935544
427,good,21327,0.4460622927837724
7,i,263140,0.4059471695977068
282,one,44946,0.37055060567553455
209,have,75818,0.20116543400224807
164,him,78172,0.15705388518636124
367,their,27078,0.10162214911241582
224,all,58419,-0.007694329234181961
238,then,30756,-0.08212455096667443
132,it,173534,-0.2564750199455795
368,were,48208,-0.7305292445484041
